CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.312500 1578682365.2969
MEM 15.269531 1578682365.3976
MEM 26.566406 1578682365.4992
MEM 37.546875 1578682365.6016
MEM 45.757812 1578682365.7049
MEM 51.078125 1578682365.8051
MEM 59.195312 1578682365.9099
MEM 64.593750 1578682366.0127
MEM 68.593750 1578682366.1153
MEM 70.500000 1578682366.2184
MEM 75.953125 1578682366.3192
MEM 78.726562 1578682366.4195
MEM 83.875000 1578682366.5198
MEM 87.886719 1578682366.6205
MEM 91.777344 1578682366.7258
MEM 95.726562 1578682366.8285
MEM 98.292969 1578682366.9289
MEM 100.632812 1578682367.0295
MEM 103.527344 1578682367.1341
MEM 130.574219 1578682367.2361
MEM 121.132812 1578682367.3368
MEM 145.792969 1578682367.4400
MEM 158.718750 1578682367.5415
MEM 152.660156 1578682367.6417
MEM 150.390625 1578682367.7450
MEM 150.453125 1578682367.8459
MEM 150.539062 1578682367.9472
MEM 156.550781 1578682368.0511
MEM 165.996094 1578682368.1541
MEM 167.246094 1578682368.2551
MEM 153.746094 1578682368.3576
MEM 153.863281 1578682368.4620
MEM 144.695312 1578682368.5661
MEM 144.902344 1578682368.6676
MEM 145.304688 1578682368.7717
MEM 145.554688 1578682368.8760
MEM 145.960938 1578682368.9808
MEM 146.140625 1578682369.0852
MEM 146.585938 1578682369.1884
MEM 147.031250 1578682369.2936
MEM 147.347656 1578682369.3969
MEM 147.738281 1578682369.4990
MEM 147.863281 1578682369.6010
MEM 148.324219 1578682369.7058
MEM 148.722656 1578682369.8109
MEM 148.914062 1578682369.9162
MEM 149.363281 1578682370.0214
MEM 149.640625 1578682370.1266
MEM 149.910156 1578682370.2309
MEM 151.246094 1578682370.3361
MEM 151.406250 1578682370.4407
MEM 152.855469 1578682370.5419
MEM 153.292969 1578682370.6443
MEM 153.496094 1578682370.7491
MEM 155.054688 1578682370.8543
MEM 155.398438 1578682370.9561
MEM 155.640625 1578682371.0589
MEM 157.308594 1578682371.1595
MEM 157.562500 1578682371.2627
MEM 157.949219 1578682371.3644
MEM 159.652344 1578682371.4681
MEM 159.851562 1578682371.5733
MEM 160.332031 1578682371.6756
MEM 160.609375 1578682371.7807
MEM 162.539062 1578682371.8859
MEM 162.933594 1578682371.9891
MEM 163.089844 1578682372.0924
MEM 165.050781 1578682372.1976
MEM 165.480469 1578682372.3017
MEM 165.691406 1578682372.4060
MEM 166.128906 1578682372.5070
MEM 166.503906 1578682372.6081
MEM 166.625000 1578682372.7083
MEM 168.976562 1578682372.8120
MEM 169.472656 1578682372.9141
MEM 169.734375 1578682373.0154
MEM 170.054688 1578682373.1181
MEM 170.449219 1578682373.2233
MEM 170.890625 1578682373.3285
MEM 171.035156 1578682373.4315
MEM 171.531250 1578682373.5366
MEM 172.000000 1578682373.6398
MEM 172.164062 1578682373.7451
MEM 172.285156 1578682373.8472
MEM 172.734375 1578682373.9506
MEM 172.921875 1578682374.0557
MEM 173.476562 1578682374.1609
MEM 173.792969 1578682374.2660
MEM 174.113281 1578682374.3688
MEM 174.558594 1578682374.4704
MEM 174.757812 1578682374.5756
MEM 175.250000 1578682374.6808
MEM 175.691406 1578682374.7811
MEM 175.863281 1578682374.8835
MEM 176.414062 1578682374.9861
MEM 176.890625 1578682375.0897
MEM 177.117188 1578682375.1913
MEM 176.882812 1578682375.2965
MEM 177.328125 1578682375.3966
MEM 177.531250 1578682375.4968
MEM 177.957031 1578682375.6020
MEM 178.371094 1578682375.7070
MEM 178.660156 1578682375.8130
MEM 179.070312 1578682375.9182
MEM 179.343750 1578682376.0223
MEM 179.746094 1578682376.1275
MEM 179.617188 1578682376.2286
MEM 180.179688 1578682376.3338
MEM 180.601562 1578682376.4368
MEM 180.789062 1578682376.5419
MEM 181.195312 1578682376.6471
MEM 181.746094 1578682376.7511
MEM 182.167969 1578682376.8530
MEM 180.230469 1578682376.9581
MEM 179.644531 1578682377.0612
MEM 180.207031 1578682377.1632
MEM 180.714844 1578682377.2683
MEM 180.167969 1578682377.3734
MEM 180.718750 1578682377.4786
MEM 181.222656 1578682377.5807
MEM 181.378906 1578682377.6858
MEM 181.929688 1578682377.7910
MEM 181.281250 1578682377.8961
MEM 181.675781 1578682377.9983
MEM 182.117188 1578682378.1034
MEM 182.316406 1578682378.2086
MEM 182.859375 1578682378.3137
MEM 182.328125 1578682378.4154
MEM 182.781250 1578682378.5205
MEM 183.222656 1578682378.6253
MEM 183.382812 1578682378.7295
MEM 183.906250 1578682378.8330
MEM 184.328125 1578682378.9382
MEM 184.632812 1578682379.0397
MEM 184.847656 1578682379.1448
MEM 185.066406 1578682379.2470
MEM 184.519531 1578682379.3505
MEM 184.707031 1578682379.4537
MEM 185.203125 1578682379.5588
MEM 185.757812 1578682379.6622
MEM 185.937500 1578682379.7653
MEM 186.523438 1578682379.8699
MEM 187.023438 1578682379.9705
MEM 187.257812 1578682380.0739
MEM 187.593750 1578682380.1753
MEM 188.121094 1578682380.2798
MEM 188.144531 1578682380.3811
MEM 188.460938 1578682380.4849
MEM 189.019531 1578682380.5897
MEM 189.363281 1578682380.6921
MEM 189.683594 1578682380.7972
MEM 190.164062 1578682380.9006
MEM 190.402344 1578682381.0027
MEM 190.875000 1578682381.1052
MEM 191.113281 1578682381.2071
MEM 191.605469 1578682381.3122
MEM 191.867188 1578682381.4174
MEM 192.281250 1578682381.5181
MEM 192.562500 1578682381.6232
MEM 193.035156 1578682381.7259
MEM 193.222656 1578682381.8292
MEM 193.722656 1578682381.9309
MEM 193.667969 1578682382.0360
MEM 193.980469 1578682382.1376
MEM 193.441406 1578682382.2384
MEM 193.664062 1578682382.3409
MEM 194.050781 1578682382.4427
MEM 193.589844 1578682382.5454
MEM 193.972656 1578682382.6506
MEM 194.144531 1578682382.7557
MEM 194.644531 1578682382.8575
MEM 194.910156 1578682382.9626
MEM 210.125000 1578682383.0645
MEM 254.546875 1578682383.1666
MEM 291.152344 1578682383.2671
MEM 326.769531 1578682383.3675
MEM 360.929688 1578682383.4700
MEM 398.511719 1578682383.5750
MEM 413.738281 1578682383.6793
MEM 413.738281 1578682383.7815
MEM 421.453125 1578682383.8868
MEM 432.324219 1578682383.9910
MEM 456.082031 1578682384.0953
MEM 456.082031 1578682384.1975
MEM 456.082031 1578682384.2979
MEM 456.082031 1578682384.4030
MEM 456.082031 1578682384.5072
MEM 456.082031 1578682384.6124
MEM 456.082031 1578682384.7142
MEM 456.082031 1578682384.8195
MEM 456.082031 1578682384.9221
MEM 456.082031 1578682385.0273
MEM 458.593750 1578682385.1324
MEM 349.093750 1578682385.2329
MEM 295.621094 1578682385.3352
MEM 189.367188 1578682385.4405
MEM 187.246094 1578682385.5435
MEM 195.132812 1578682385.6474
MEM 195.132812 1578682385.7479
MEM 195.132812 1578682385.8490
MEM 195.132812 1578682385.9515
MEM 195.132812 1578682386.0536
MEM 195.132812 1578682386.1562
MEM 195.132812 1578682386.2602
MEM 195.132812 1578682386.3618
MEM 195.132812 1578682386.4647
MEM 195.132812 1578682386.5700
MEM 195.132812 1578682386.6735
MEM 195.132812 1578682386.7787
MEM 195.132812 1578682386.8811
MEM 195.132812 1578682386.9844
MEM 195.132812 1578682387.0878
MEM 195.132812 1578682387.1882
MEM 195.132812 1578682387.2931
MEM 195.132812 1578682387.3982
MEM 195.132812 1578682387.4991
MEM 195.132812 1578682387.6043
MEM 135.011719 1578682387.7084
MEM 140.187500 1578682387.8136
MEM 142.289062 1578682387.9188
MEM 142.304688 1578682388.0206
MEM 142.343750 1578682388.1227
MEM 142.367188 1578682388.2270
MEM 142.406250 1578682388.3322
MEM 142.425781 1578682388.4374
MEM 142.546875 1578682388.5426
MEM 142.582031 1578682388.6478
MEM 142.613281 1578682388.7504
MEM 142.652344 1578682388.8542
MEM 142.703125 1578682388.9559
MEM 142.730469 1578682389.0611
MEM 142.914062 1578682389.1623
MEM 142.945312 1578682389.2654
MEM 142.984375 1578682389.3678
MEM 143.023438 1578682389.4727
MEM 143.085938 1578682389.5779
MEM 143.125000 1578682389.6805
MEM 138.300781 1578682389.7858
MEM 164.058594 1578682389.8889
MEM 155.195312 1578682389.9942
MEM 183.375000 1578682390.0982
MEM 197.882812 1578682390.1986
MEM 229.324219 1578682390.3038
MEM 250.257812 1578682390.4044
MEM 267.394531 1578682390.5096
MEM 297.308594 1578682390.6148
MEM 303.316406 1578682390.7195
MEM 321.898438 1578682390.8219
MEM 324.527344 1578682390.9242
MEM 324.527344 1578682391.0256
MEM 354.632812 1578682391.1268
MEM 372.453125 1578682391.2277
MEM 414.437500 1578682391.3279
MEM 420.468750 1578682391.4323
MEM 466.894531 1578682391.5344
MEM 480.117188 1578682391.6349
MEM 366.644531 1578682391.7398
MEM 366.644531 1578682391.8449
MEM 366.644531 1578682391.9477
MEM 366.644531 1578682392.0485
MEM 366.644531 1578682392.1537
MEM 366.644531 1578682392.2559
MEM 389.964844 1578682392.3585
MEM 397.816406 1578682392.4600
MEM 437.183594 1578682392.5652
MEM 467.890625 1578682392.6661
MEM 496.183594 1578682392.7713
MEM 476.542969 1578682392.8727
MEM 232.550781 1578682392.9779
MEM 290.238281 1578682393.0795
MEM 312.593750 1578682393.1847
MEM 340.187500 1578682393.2866
MEM 364.531250 1578682393.3916
MEM 364.531250 1578682393.4935
MEM 364.531250 1578682393.5951
MEM 364.531250 1578682393.6992
MEM 364.531250 1578682393.8035
MEM 364.535156 1578682393.9059
MEM 388.078125 1578682394.0082
MEM 431.371094 1578682394.1134
MEM 433.316406 1578682394.2170
MEM 485.136719 1578682394.3222
MEM 487.750000 1578682394.4226
MEM 380.667969 1578682394.5278
MEM 380.667969 1578682394.6304
MEM 380.667969 1578682394.7356
MEM 380.667969 1578682394.8397
MEM 380.667969 1578682394.9449
MEM 380.667969 1578682395.0484
